110337,Mercedes-Benz,Classe C,(206) Berline03/2021 - Aujourd'hui,berline,Bleu,Noir,Similicuir,5,4,180 1.5 i 16V EQ Boost 9G-TRONIC,,hybride leger essence,automatique,10 cv,propulsion,1496 cm³,"36,000 km",07-2021,tres bon,1ere main,"206,000 DT"
114681,Audi,Q5,I (8RB)11/2008 - 09/2012,suv,Gris argent,Gris,Tissu,6,5,2.0 TDI 16V DPF Quattro S Tronic7,170 ch dyn,diesel,automatique,10 cv,integrale,1968 cm³,"186,500 km",06-2011,normal,1ere main,"67,000 DT"
114680,Nissan,Qashqai+2,+2 I Phase 2 (JJ10E)01/2010 - 11/2013,autres,Rouge,Gris,Tissu,7,5,1.6 dCi 16V DPF 4WD,130 ch dyn,diesel,manuelle,7 cv,integrale,cm³,"100,000 km",01-2012,tres bon,1ere main,"45,000 DT"
114521,Mahindra,KUV 100,01/2016 - Aujourd'hui,suv,Rouge,Noir,Cuir partiel,5,5,1.2 82cv,82 ch dyn,essence,manuelle,5 cv,traction,1198 cm³,"42,000 km",08-2021,tres bon,1ere main,"34,000 DT"
112425,Renault,Velsatis,01/2002 - 01/2005,berline,Bleu,Noir,Similicuir,5,5,2.2 dCi 115cv,115 ch dyn,diesel,manuelle,7 cv,traction,1500 cm³,"269,000 km",03-2003,,,"19,500 DT"
114679,Volkswagen,Golf 7,VII Phase 2 5 Portes11/2016 - 01/2021,citadine,Blanc,Noir,Tissu,5,5,1.0 TSI 12V Blue Motion,110 ch dyn,essence,manuelle,6 cv,traction,cm³,"105,000 km",04-2019,tres bon,2eme main,"68,000 DT"
114386,Mercedes-Benz,CLA,II (118) Coupé05/2019 - Aujourd'hui,berline,Blanc,Noir,Alcantara,5,4,180 d 1.5 d 8V 7G-DCT,116 ch dyn,diesel,automatique,7 cv,propulsion,1800 cm³,"80,000 km",01-2020,tres bon,1ere main,"139,000 DT"
113615,Porsche,Cayenne,92A02/2010 - 05/2018,suv,Noir,Marron,Cuir intégral,5,4,3.0 TDi DPF V6 24V Tiptronic S,211 ch dyn,diesel,automatique,15 cv,propulsion,3000 cm³,"182,000 km",04-2011,tres bon,2eme main,"105,000 DT"
114678,Mercedes-Benz,Classe E,(212) Berline02/2009 - 02/2013,berline,Gris argent,Gris,Similicuir,5,5,250 CDi 2.1 CDI 16V DPF BlueEFFICIENCY,204 ch dyn,diesel,automatique,10 cv,propulsion,2200 cm³,"200,000 km",05-2012,tres bon,1ere main,"64,000 DT"
109043,Mercedes-Benz,Classe E,(213) Berline01/2016 - 06/2020,berline,Blanc,Noir,Alcantara,5,4,180 1.5 16V 9G-TRONIC Boite auto,156 ch dyn,essence,automatique,9 cv,traction,1598 cm³,"95,000 km",06-2018,,1ere main,"139,000 DT"
113481,Peugeot,3008 GT,,suv,Noir,Noir,Tissu,5,5,,,essence,automatique,6 cv,traction,1198 cm³,"125,000 km",01-2020,tres bon,1ere main,"76,000 DT"
113908,Land Rover,Range Rover Evoque,Evoque II03/2019 - Aujourd'hui,suv,Noir,Noir,Cuir intégral,5,4,D180 2.0 Td4 16V MHEV AWD,,hybride leger diesel,automatique,11 cv,integrale,1998 cm³,"40,000 km",01-2021,tres bon,1ere main,"182,000 DT"
111976,Isuzu,D-Max Double Cabine,III08/2020 - Aujourd'hui,pick up,Noir,Noir,Cuir intégral,5,4,1.9 Ddi Pickup Double cab 4WD,164 ch dyn,diesel,automatique,6 cv,integrale,1898 cm³,"95,000 km",01-2021,tres bon,1ere main,"169,000 DT"
86048,Mercedes-Benz,Classe C,(205) Berline03/2014 - 04/2021,berline,Noir,Noir,Similicuir,5,4,180 1.5 i 16V 9G-TRONIC,156 ch dyn,essence,automatique,9 cv,propulsion,1497 cm³,"145,000 km",06-2019,tres bon,1ere main,"148,160 DT"
110919,Mercedes-Benz,Classe A,(W177) Phase 2 Hatchback03/2023 - Aujourd'hui,utilitaire,Blanc,Noir,Alcantara,5,4,200 1.3 Ti 16V EQ Boost 7G-DCT,,hybride leger essence,automatique,8 cv,traction,1398 cm³,"10,000 km",06-2023,,1ere main,"178,000 DT"
110737,Land Rover,Range Rover Evoque,Evoque II03/2019 - Aujourd'hui,suv,Noir,Rouge,Cuir intégral,5,4,D180 2.0 Td4 16V AWD,180 ch dyn,diesel,automatique,8 cv,propulsion,1998 cm³,"90,000 km",09-2019,,,"185,000 DT"
113927,Land Rover,Range Rover Evoque,Evoque II03/2019 - Aujourd'hui,suv,Gris anthracite,Noir,Cuir intégral,5,4,P250 2.0 Si4 16V GPF AWD,250 ch dyn,essence,automatique,11 cv,integrale,1500 cm³,"120,000 km",05-2021,tres bon,1ere main,"172,000 DT"
79830,BMW,Série 4 Gran Coupé,(F36) LCI Gran Coupé03/2017 - 07/2021,berline,Bleu,Noir,Cuir intégral,5,4,418i 1.5 i 12V Steptronic8,136 ch dyn,essence,automatique,7 cv,traction,1498 cm³,"90,000 km",06-2019,,,"135,000 DT"
112014,BMW,Série 5,(G30) LCI Berline07/2020 - 12/2023,berline,Noir,Marron,Cuir intégral,5,4,,,essence,automatique,10 cv,propulsion,1597 cm³,"65,000 km",09-2022,tres bon,1ere main,"168,000 DT"
109491,Mercedes-Benz,Classe C,(205) Berline03/2014 - 04/2021,berline,Noir,Autre,Similicuir,5,4,180 1.6 i 16V 9G-TRONIC,156 ch dyn,essence,automatique,8 cv,traction,1598 cm³,"160,000 km",09-2015,,,"86,000 DT"
107279,Porsche,Cayenne,92A02/2010 - 05/2018,suv,Blanc,Noir,Cuir intégral,5,5,3.6 DFI V6 24V Tiptronic S,300 ch dyn,essence,automatique,21 cv,propulsion,3598 cm³,"195,000 km",07-2012,,,"135,000 DT"
103089,Mercedes-Benz,Classe S,(221) Phase 2 Berline06/2009 - 06/2013,berline,Noir,Noir,Cuir intégral,5,4,350 3.5 i V6 24V 7G-TRONIC,306 ch dyn,essence,automatique,18 cv,traction,3498 cm³,"165,000 km",04-2010,,,"112,000 DT"
